LINK,OCCURRED,CITY,STATE,COUNTRY,SHAPE,SUMMARY,REPORTED,POSTED,IMAGE
Open,12/6/23 0:48,Austin,TX,USA,Chevron,"A light grey craft similar to that of a B2 flying overhead Austin, TX, with no apparent lights and sound.",12/5/2023,12/9/2023,
Open,12/5/23 17:55,Payson,AZ,USA,Triangle,"I saw a triangular shaped craft while driving through Payson, AZ.",12/6/2023,12/9/2023,
Open,12/5/23 17:25,Saint Paul,KS,USA,Orb,"This was the earliest I've seen one out. Sun was still setting. It was before 5:30,only star out was Venus or mercury.",12/7/2023,12/9/2023,Y
Open,12/5/23 5:36,Santa Monica,CA,USA,Oval,Woke up early and saw strange lights hovering over the ocean. One had lights of different colors.,12/6/2023,12/9/2023,Y
Open,12/4/23 22:45,Corinth,NY,USA,Flash,Mechanical light from Def UAP,12/6/2023,12/9/2023,
Open,12/4/23 22:00,Dunkirk,IN,USA,Circle,"No sound, projected several bright beams of light from round circle of light into woods onto the ground.",12/6/2023,12/9/2023,
Open !,12/4/23 1:00,Lorain,OH,USA,Sphere,"A Semi Transparent, White Colored, Luminescent Spherical Cloud circled directly above my home before disappearing entirely.",12/5/2023,12/9/2023,
Open !,12/3/23 23:59,Memphis,IN,USA,Light,Unexplained bright shiny light,12/6/2023,12/9/2023,Y
Open,12/3/23 20:45,Davenport,FL,USA,Orb,"We were swimming, I just so happened to look up and saw strange lights.",12/4/2023,12/9/2023,
Open,12/3/23 20:25,San Cristobal de las Casas,Chiapas,Mexico,Diamond,Object floated slowly over a radio tower that was decorated with X-Mas lights. It did not blinlk. Too big to be a.drone.,12/3/2023,12/9/2023,
Open,12/3/23 17:40,Sisseton,SD,USA,Circle,"Three circular lights that were dim, and one single circular bright light.",12/3/2023,12/9/2023,
Open,12/3/23 14:00,,,Barbados,Changing,Playing in the clouds for an hour since i noticed it.,12/3/2023,12/9/2023,
Open,12/3/23 11:00,Vancouver,BC,Canada,Circle,Visible from the ground as well on top of the bridge,12/4/2023,12/9/2023,Y
Open,12/2/23 18:54,New York,NY,USA,Orb,This thing caught my eye as I looked up over the elevated train. I watched it for about 20 minutes making odd turns,12/3/2023,12/9/2023,Y
Open,12/2/23 17:30,Haverhill,MA,USA,Orb,"Multiple unidentifiable points of lights observed both stationary and traveling in the night sky unlike meteor shower or Starlink, poss",12/7/2023,12/9/2023,
Open,12/2/23 3:45,Great Falls,MT,USA,Light,5+ white lights circling/maneuvering from our perspective over or beyond Malmstrom Airforce Base,12/2/2023,12/9/2023,
Open,12/1/23 10:25,Albion,ME,USA,Unknown,Spotted a Craft this morning.,12/1/2023,12/9/2023,
Open,12/1/23 7:13,Kingfisher Close,England,United Kingdom,Flash,flashing object moving erratically/hovering in the sky,12/1/2023,12/9/2023,Y
,,,,,,,,,
"Showing 1 to 100 of 147,890 entries (filtered from 147,894 total entries)",,,,,,,,,
"FirstPrevious12345…1,479NextLast",,,,,,,,,
"Copyright 2024 National UFO Reporting Center, P.O. Box 700, Davenport, WA 99122-0700       TERMS OF SERVICE     PRIVACY POLICY",,,,,,,,,
